Date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
2025-09-08,750.537353515625,764.7140814935753,750.2580412178338,754.2286966166499,13087800,52.41347875552029,1.4539352053168386,-2.221981984473679,3.6759171897905176,722.0718774659823,754.923046875,787.7742162840176,8.703183601296818,0.43324905264755836
2025-09-09,763.9059448242188,764.5045146420852,751.6646744655906,755.715159278882,10999000,57.83909904809611,2.6651836699026035,-0.8085868159103318,3.4737704858129352,722.0732591954093,754.9145660400391,787.7558728846689,8.700668478792597,0.6368913062247697
2025-09-10,750.2180786132812,763.9059640843684,749.2403942554,763.3372922969834,12478300,51.37970427168721,2.491885490914683,-0.7855079959186018,3.277393486833285,724.1126873122981,753.0180206298828,781.9233539474675,7.677195638267995,0.4515670346050255
2025-09-11,749.1406860351562,755.3261108896929,746.6165845282627,752.8818998869256,7923300,50.89787534044659,2.241767162217002,-0.8285010596930267,3.0702682219100286,725.1862079178763,751.5624389648438,777.9386700118112,7.019039185432528,0.45409213459316544
2025-09-12,753.8196411132812,755.7949823874058,742.0173423532742,746.9756681630587,8248600,52.96097025209254,2.3935082822932827,-0.5414079516933965,2.9349162339866792,727.5324488004427,750.2385498046875,772.9446508089324,6.053035000709039,0.5788574689226533
2025-09-15,762.9083251953125,772.2563664766384,750.2280827190908,755.6952236302711,10533800,56.76135699646771,3.2101405591841967,0.22017946015801382,2.989961099026183,731.5065367477465,749.2144561767578,766.9223756057692,4.72706293452341,0.8866594569015166
2025-09-16,777.1748046875,779.5292605984961,763.3073480005289,765.2029206615051,11782500,61.95705669215229,4.951436113855266,1.5691800118632662,3.3822561019919997,729.2907350223705,749.794595336914,770.2984556514574,5.469193947798514,1.16768425385646
2025-09-17,773.9024658203125,781.4547366857648,764.5145401578408,778.16248073438,9400900,60.17103948907094,5.998231113279303,2.092780009029842,3.905451104249461,727.8389807710972,751.0037536621094,774.1685265531215,6.169016540344594,0.9942572125774595
2025-09-18,778.4218139648438,786.9318567440129,771.5479431530769,778.9206424262118,10955000,61.80847451548502,7.110531536172061,2.56406434553808,4.546467190633981,726.5794786616025,752.6264434814454,778.6734083012884,6.921618299606053,0.9951703713237828
2025-09-19,776.5562744140625,788.9471575257752,767.3878039844694,784.5774149162842,23696800,60.69914385694325,7.752142313177615,2.5645400980349065,5.187602215142708,727.4967173945004,754.5858459472657,781.6749745000311,7.179866597884344,0.9055211378247516
2025-09-22,763.8824462890625,784.4181095052566,763.1935958899483,780.5445827585347,11706900,53.653809775487005,7.15546768902891,1.5742923791089618,5.581175309919948,727.7380360467396,755.1288940429688,782.519752039198,7.254617910216161,0.6597896686423399
2025-09-23,754.1387939453125,769.3133669851754,749.8160063356215,767.9656453445465,10872600,48.94979622263776,5.829172367028946,0.19839764568719698,5.630774721341749,727.9154357004778,755.25908203125,782.6027283620223,7.240865282210759,0.47951465447611524
2025-09-24,759.3899536132812,759.8392144671293,751.2735837511626,756.2352564498105,8828200,51.42168309001435,5.142518713709933,-0.39060480610545323,5.533123519815386,728.2451389302457,755.6119232177734,782.9787075053011,7.243608377958425,0.5690258372305297
2025-09-25,747.6595458984375,755.5064686568031,743.3068402529434,752.1920046258563,10591100,46.05672061567403,3.610178982846037,-1.538355629575479,5.148534612421516,728.4879149734871,755.7134552001953,782.9389954269035,7.205254859329158,0.3520890818934614
2025-09-26,742.5081787109375,750.6745134518627,736.1188402620083,748.7477432379202,9696300,43.89105926097891,1.9575509966097115,-2.5527868926494435,4.510337889259155,727.6418741014367,755.3713562011719,783.1008383009072,7.341946943603801,0.2680595431972163
